base	number	argnum	definition	note	definition_fin	note_fin
aavistaa	1	0	Experiencer	NULL	Taho, joka aavistaa	NULL
aavistaa	1	1	Thing sensed	NULL	Aavistettu asia	NULL
ahdistaa	1	0	Causer of anxiety	Causer	Ahdistuksen aiheuttaja	Aiheuttaja
ahdistaa	1	1	Entity feeling anxious	Experiencer	Taho, joka on ahdistunut	Kokija
ahdistua	1	0	Creature feeling anguish	Experiencer	Olento, joka tuntee ahdistusta	Kokija
ahdistua	1	1	Reason for anguish	NULL	Ahdistuksen syy	NULL
ahkeroida	1	0	Entity working hard	NULL	Taho, joka ahkeroi	NULL
ahkeroida	1	2	Thing arg0 is working hard with	NULL	Asia, jonka parissa arg0 ahkeroi	NULL
ahmia	1	0	Entity eating	NULL	Taho, joka syö	NULL
ahmia	1	1	Entity or thing eaten	NULL	Taho tai asia joka syödään	NULL
ahtautua	1	1	Entity squeezing, cramming in	NULL	Taho, joka ahtautuu	NULL
ahtautua	1	2	Space crammed into	NULL	Tila, jonne ahtaudutaan	NULL
aidata	1	0	Entity fencing something off	NULL	Taho, joka aitaa	NULL
aidata	1	1	Thing fenced	NULL	Aidattu asia	NULL
aidata	1	2	Space outside fence	NULL	Tila, joka jää ulkopuolelle	NULL
aiheuttaa	1	0	Entity causing something	NULL	Taho, joka aiheuttaa jotakin	NULL
aiheuttaa	1	1	Thing caused	NULL	Aiheutettu asia	NULL
aikaansaada	1	0	Achiever	NULL	Taho, joka saa aikaan 	NULL
aikaansaada	1	1	Thing achieved	NULL	Asia, joka saadaan aikaan 	NULL
aikaistaa	1	0	Entity advancing	NULL	Taho, joka aikaistaa	NULL
aikaistaa	1	1	Thing advanced	NULL	Asia, jota aikaistetaan	NULL
aikaistaa	1	2	EXT	NULL	EXT	NULL
aikaistaa	1	3	Start point	NULL	Alkutila	NULL
aikaistaa	1	4	End point	NULL	Lopputila	NULL
aikoa	1	0	Entity intending	NULL	Taho, joka aikoo	NULL
aikoa	1	1	Thing intended	NULL	Asia, jota tai johon aiotaan	NULL
aistia	1	0	Experiencer	NULL	Taho, joka aistii	NULL
aistia	1	1	Thing sensed	NULL	Aistittu asia	NULL
aivastaa	1	1	Creature sneezing	NULL	Olento, joka aivastaa	NULL
ajaa	1	0	Entity driving	NULL	Taho, joka ajaa kulkuneuvoa	NULL
ajaa	1	1	Thing driven	(e.g. a horse)	Asia, jota ajetaan	(esim. hevonen)
ajaa	1	2	DIR, destination, path	NULL	DIR, päämäärä, polku	NULL
ajaa	1	3	Competition, distance	NULL	Kilpailu, ajettu matka	NULL
ajaa	2	0	Entity, who chases	NULL	Taho, joka ajaa takaa	NULL
ajaa	2	1	Entity or thing chased	NULL	Taho tai asia,jota ajetaan takaa	NULL
ajaa	3	0	Entity pushing an action	NULL	Taho, joka ajaa asiaa	NULL
ajaa	3	1	Pushed action	NULL	Ajettu asia	NULL
ajaa	4	0	Entity driving	NULL	Taho, joka ajaa	NULL
ajaa	4	1	Entity drived	NULL	Ajettu taho	NULL
ajaa	4	2	Start point	NULL	Alkupiste	NULL
ajaa	4	3	End point	NULL	Loppupiste	NULL
ajaa	5	0	Entity who runs the computer	NULL	Taho, joka käyttää tietokonetta	NULL
ajaa	5	1	Programme	NULL	Ohjelma	NULL
ajaa	6	0	Entity who shaves	NULL	Taho, joka ajaa	NULL
ajaa	6	1	Beard or hair	NULL	Parta tai hiukset	NULL
ajankohtaistaa	1	0	Entity making something topical	NULL	Taho, joka tekee jostakin ajankohtaista	NULL
ajankohtaistaa	1	1	Thing made topical	NULL	Asia, josta tulee ajankohtainen	NULL
ajantasaistaa	1	0	Entity making something topical	NULL	Taho, joka tekee jostakin ajankohtaista	NULL
ajantasaistaa	1	1	Thing made topical	NULL	Asia, josta tulee ajankohtainen	NULL
ajatella	1	0	Entity thinking	NULL	Taho, joka ajattelee	NULL
ajatella	1	1	Thought	NULL	Ajatus	NULL
ajautua	1	1	Entity ending up	NULL	Taho tai asia, joka päätyy	NULL
ajautua	1	2	New state or place	NULL	Uusi tila tai paikka	NULL
ajelehtia	1	1	Thing in motion	NULL	Asia, joka liikkuu	NULL
ajella	1	0	Entity steering	NULL	Taho, joka ajaa kulkuneuvoa	NULL
ajella	1	1	Entity steered	(e.g. a horse)	Taho, jota ajetaan	(esim. hevonen)
ajella	1	2	DIR, destination	NULL	DIR, päämäärä	NULL
ajoittaa	1	0	Entity setting the time	NULL	Taho, joka asettaa ajan	NULL
ajoittaa	1	1	Event or thing whose time is set	NULL	Tapahtuma tai asia, jonka aika asetetaan	NULL
ajoittaa	1	2	Thing according to which the time of arg1 is set	NULL	Asia, jonka mukaan arg1:n aika asetetaan	NULL
aktivoida	1	0	Entity making something active	NULL	Taho, joka tekee jostain aktiivisen	NULL
aktivoida	1	1	Entity or thing becoming active	NULL	Taho tai asia, josta tulee aktiivinen	NULL
aktivoitua	1	1	Entity activating	NULL	Taho, joka aktivoituu	NULL
alentaa	1	0	The entity reducing or causer of reduce	NULL	Vähentävä taho tai sen aiheuttava asia	NULL
alentaa	1	1	The thing reduced	NULL	Vähennettävä asia	NULL
alentaa	1	2	EXT	NULL	EXT	NULL
alentaa	1	3	Start point	NULL	Lähtökohta	NULL
alentaa	1	4	End point	NULL	Lopputilanne	NULL
alentua	1	1	Entity falling	NULL	Taho tai asia, joka putoaa	NULL
alentua	1	2	EXT	NULL	EXT	NULL
alentua	1	3	Start point	NULL	Alkupiste	NULL
alentua	1	4	End point	NULL	Loppupiste	NULL
aleta	1	1	Thing getting down	NULL	Taho, joka alenee	NULL
aliarvioida	1	0	Entity who underestimates	NULL	Taho, joka aliarvioi	NULL
aliarvioida	1	1	Thing underestimated	NULL	Asia, joka aliarvioidaan	NULL
aliravita	1	0	Entity not feeding someone	Agent only	Taho, joka ei ruokki jotakuta	Vain agentti
aliravita	1	1	Entity not fed	NULL	Taho, jota ei ruokita	NULL
aliravita	1	2	Nourishment, substance	Can be the subject	Ravinto, aine	Voi olla subjekti
alistaa	1	0	Entity oppressing	NULL	Taho, joka alistaa	NULL
alistaa	1	1	Entity or thing oppressed	NULL	Taho tai asia, joka alistetaan	NULL
alistaa	1	2	Action or state arg1 is oppressed to	NULL	Teko tai tila, johon arg1 on alistettu	NULL
alistua	1	0	The entity who settles for something	NULL	Taho, joka tyytyy johonkin	NULL
alistua	1	1	Thing settled for	NULL	Asia, johon tyydytään	NULL
alittaa	1	1	Thing going below something	NULL	Asia, joka alittaa	NULL
alittaa	1	2	Threshold	NULL	Asia, joka alitetaan	NULL
alkaa	1	0	Entity beginning	NULL	Taho, joka alkaa	NULL
alkaa	1	1	Thing beginning	if not arg0	Asia, joka alkaa	jos ei arg0
alkaa	1	2	Action arg0/arg1 begins	NULL	Toiminta, jonka arg0/arg1 aloittaa	NULL
allekirjoittaa	1	0	Entity signing the document	NULL	Dokumentin allekirjoittava taho	NULL
allekirjoittaa	1	1	Document	NULL	Dokumentti	NULL
allekirjoittaa	1	2	Signature	E.g. "Matti allekirjoitti kirjeen: 'Salainen ihailija'" ("Matti signed the letter: 'Secret admirer'") (tags: rare)	Allekirjoitus	Esim. "Matti allekirjoitti kirjeen: 'Salainen ihailija"
alleviivata	1	0	Entity who stresses	NULL	Taho, joka painottaa	NULL
alleviivata	1	1	Thing stressed	NULL	Asia, jota painotetaan	NULL
alleviivata	1	2	Attribute	(tags:rare)	Ominaisuus	NULL
aloitella	1	0	Entity starting	NULL	Taho, joka aloittaa	NULL
aloitella	1	1	Thing started	NULL	Asia, joka aloitetaan	NULL
aloitella	1	2	Instrument	(tags: rare)	Väline	NULL
aloittaa	1	0	Entity starting	NULL	Taho, joka aloittaa	NULL
aloittaa	1	1	Thing started	NULL	Asia, joka aloitetaan	NULL
aloittaa	1	2	Instrument	(tags: rare)	Väline	NULL
altistaa	1	0	Entity making something vulnerable	NULL	Taho, joka tekee jostakin haavoittuvaisen	NULL
altistaa	1	1	Entity or thing made vulnerable	NULL	Altistunut taho tai asia	NULL
altistaa	1	2	Thing arg1 is vulnerable to	NULL	Asia, jolle arg1 on altis	NULL
alustaa	1	0	Person kneading	NULL	Henkilö, joka alustaa	NULL
alustaa	1	1	Dough	NULL	Taikina	NULL
alustaa	1	2	Loaf	(tags: rare)	Leipä	(tags: rare)
ammuskella	1	0	Entity shooting	NULL	Taho, joka ampuu	NULL
ammuskella	1	1	Target, victim	NULL	Kohde, uhri	NULL
ammuskella	1	2	Projectile, shot	NULL	Ammus, laukaus	NULL
ammuskella	1	3	Gun, weapon	NULL	Ase	NULL
ammuskella	1	4	Specific target	E.g. "hän ampui minua *jalkaan*" ("he shot me *in the foot*")	Tarkka kohde	Esim. "hän ampui minua *jalkaan*"
ampua	1	0	Entity shooting	NULL	Taho, joka ampuu	NULL
ampua	1	1	Target, victim	NULL	Kohde, uhri	NULL
ampua	1	2	Projectile, shot	NULL	Ammus, laukaus	NULL
ampua	1	3	Gun, weapon	NULL	Ase	NULL
ampua	1	4	Specific target	E.g. "hän ampui minua *jalkaan*" ("he shot me *in the foot*")	Tarkka kohde	Esim. "hän ampui minua *jalkaan*"
analysoida	1	0	Researcher	NULL	Tutkiva taho, tutkija	NULL
analysoida	1	1	Target	NULL	Tutkittava asia	NULL
anella	1	0	Entity asking	NULL	Taho, joka pyytää	NULL
anella	1	1	Thing asked	NULL	Pyydetty asia	NULL
anella	1	2	Entity arg1 is asked from	NULL	Taho, jolta arg1:tä pyydetään	NULL
annostella	1	0	Entity making portions	NULL	Taho, joka tekee annoksia	NULL
annostella	1	1	Thing given as portions	NULL	Asia, jota annetaan annoksina	NULL
annostella	1	2	Entity portion is given to	(tags: rare)	Taho, jolle annos annetaan	NULL
annostella	1	3	Portion size	NULL	Annoksen koko	NULL
ansaita	1	0	Entity who earns	NULL	Taho, joka tienaa	NULL
ansaita	1	1	Thing earned	NULL	Tienattu asia	NULL
ansaita	2	0	Entity deserving	NULL	Taho, joka ansaitsee	NULL
ansaita	2	1	Thing deserved	NULL	Ansaittu asia	NULL
ansaita	2	2	Reason for deserving	NULL	Syy ansaitsemiselle	NULL
ansioitua	1	0	Entity earning credit	NULL	Taho, joka ansioituu	NULL
ansioitua	1	1	Matter why earnig credit	NULL	Asia tai aihe, jossa ansioidutaan	NULL
antaa	1	0	Entity or thing giving	NULL	Taho tai asia, joka antaa	NULL
antaa	1	1	Thing given	NULL	Asia, joka annetaan	NULL
antaa	1	2	Entity given to	NULL	Taho, jolle arg1 annetaan	NULL
antaa	2	0	Entity forgiving	NULL	Taho, joka antaa anteeksi	NULL
antaa	2	1	Entity forgiven	NULL	Taho, jolle annetaan anteeksi	NULL
antaa	2	2	For what	NULL	Asia, joka annetaan anteeksi	NULL
antaa	3	0	Entity letting	NULL	Taho, joka antaa jonkin tapahtua	NULL
antaa	3	1	Thing hapening	NULL	Asia, joka tapahtuu	NULL
antaa	4	0	Entity giving way	NULL	Taho, joka antaa periksi	NULL
antaa	4	1	Entity or thing winning	NULL	Taho tai asia, jolle annetaan periksi	NULL
antaa	5	1	Thing facing	NULL	Asia, joka on johonkin päin	NULL
antaa	5	2	Direction	NULL	Suunta	NULL
antautua	1	0	Entity who surrends	NULL	Taho, joka antautuu	NULL
antautua	1	1	Entity surrended to	NULL	Taho, jolle antaudutaan	NULL
antautua	2	1	Entity who indulges	NULL	Taho, joka antautuu	NULL
antautua	2	2	Temptation	NULL	Houkutus	NULL
armahtaa	1	0	Entity who grants amnesty	NULL	Taho, joka armahtaa	NULL
armahtaa	1	1	Entity pardoned	NULL	Armahdettu taho	NULL
arvata	1	0	Entity making a guess	NULL	Taho, joka esittää arvauksen	NULL
arvata	1	1	Guess	NULL	Arvaus	NULL
arvata	2	0	Agent, entity daring to do arg1	None	Taho, joka uskaltaa tehdä arg1:n, agentti	None
arvata	2	1	Dare	None	Teko	None
arvella	1	0	Entity who supposes something	NULL	Taho, joka olettaa jotakin	NULL
arvella	1	1	Thing supposed	NULL	Oletettu asia	NULL
arvella	1	2	Attributive of arg1, how arg1 is supposed to be	(tags: rare)	Arg1:n ominaisuus, millaiseksi arg1 oletetaan	(tags: rare)
arveluttaa	1	1	Thing making arg2 think	NULL	Asia, joka arveluttaa arg2:a	NULL
arveluttaa	1	2	Thinker	NULL	Ajattelija	NULL
arvioida	1	0	Valuer	NULL	Taho, joka arvioi, arvioija	NULL
arvioida	1	1	Thing evaluated	NULL	Arvioitu asia	NULL
arvostaa	1	0	Entity respecting	NULL	Taho, joka arvostaa	NULL
arvostaa	1	1	Entity or thing respected	NULL	Taho tai asia, jota arvostetaan	NULL
arvostaa	1	2	Secondary predicate	NULL	Toissijainen predikaatti	NULL
arvostaa	2	0	Valuer	NULL	Taho, joka arvioi, arvioija	NULL
arvostaa	2	1	Thing evaluated	NULL	Arvioitu asia	NULL
arvostella	1	0	Valuer	NULL	Taho, joka arvioi, arvioija	NULL
arvostella	1	1	Thing evaluated	NULL	Arvioitu asia	NULL
asea	1	0	Entity fixing	NULL	Taho, joka panee kuntoon	NULL
asea	1	1	Thing fixed	NULL	Asia, joka pannaan kuntoon	NULL
aseistautua	1	0	Entity arming oneself	NULL	Taho, joka aseistaa itsensä	NULL
aseistautua	1	2	Equipment	Armed with what	Tarvikkeet	Aseistautunut millä
asemoida	1	0	Entity doing the layout	NULL	Latoja, taho, joka asemoi	NULL
asemoida	1	1	Layout	NULL	Teksti, ladottu kokonaisuus	NULL
asemoitua	1	0	Entity positioning itself	NULL	Taho, joka asemoituu	NULL
asemoitua	1	1	Position	NULL	Asema	NULL
asennoitua	1	0	Entity having an opinion	NULL	Taho, joka suhtautuu johonkin	NULL
asennoitua	1	1	Object of the opinion	NULL	Taho tai asia, johon suhtaudutaan	NULL
asennoitua	1	2	MNR	NULL	MNR	NULL
asentaa	1	0	Entity installing	NULL	Taho, joka asentaa	NULL
asentaa	1	1	Thing installed	NULL	Asia, joka asennetaan	NULL
asentaa	1	2	Place where arg1 is installed	NULL	Paikka, johon arg1 asennetaan	NULL
asetella	1	0	Entity putting	NULL	Laittava taho	NULL
asetella	1	1	Entity put somewhere	NULL	Laitettava asia tai olio	NULL
asetella	1	2	Destination, state	Can also be abstract	Määränpää, tila	Voi olla myös abstrakti
asettaa	1	0	Entity putting	NULL	Laittava taho	NULL
asettaa	1	1	Entity put somewhere	NULL	Laitettava asia tai olio	NULL
asettaa	1	2	Destination, state	Can also be abstract	Määränpää, tila	Voi olla myös abstrakti
asettaa	2	0	Entity ruling	NULL	Määräävä taho	NULL
asettaa	2	1	Rule	NULL	Määräys	NULL
asettaa	2	2	Entity ruled	NULL	Taho, jolle määräys on osoitettu	NULL
asettua	1	0	Entity settling	NULL	Taho, joka asettuu	NULL
asettua	1	2	Location or state	NULL	Paikka tai tila	NULL
askarruttaa	1	1	Thing making arg2 to think	NULL	Asia, joka saa arg2:n miettimään	NULL
askarruttaa	1	2	Entity thinking	NULL	Taho, joka miettii, ajattelee	NULL
askeltaa	1	0	Entity who walks	NULL	Taho, joka kävelee	NULL
askeltaa	1	1	Path walked. Not DIR!	NULL	Kävelty polku, reitti. Ei DIR!	NULL
astella	1	0	Entity who walks	NULL	Taho, joka kävelee	NULL
astella	1	1	Path walked. Not DIR!	NULL	Kävelty polku, reitti. Ei DIR!	NULL
astua	1	1	Entity changing state	NULL	Taho, joka muuttuu	NULL
astua	1	2	New state	NULL	Uusi tila	NULL
astua	2	0	Entity moving	NULL	Liikkuva taho, agentti	NULL
astua	2	1	Thing moving	If not arg0	Liikkuva asia	Jos ei arg0
astua	2	2	Destination, end state	NULL	Loppupaikka, lopputila	NULL
astua	2	3	Source, start place or state	NULL	Lähtöpaikka tai -tila	NULL
astua	3	1	Law, rule	NULL	Laki, säädös	NULL
asua	1	0	Entity living	NULL	Taho, joka asuu	NULL
asua	1	1	Place of living	NULL	Paikka, jossa asutaan	NULL
asustaa	1	0	Entity living	NULL	Taho, joka asuu	NULL
asustaa	1	1	Place of living	NULL	Paikka, jossa asutaan	NULL
asuttaa	1	0	Entity living	NULL	Taho, joka asuu	NULL
asuttaa	1	1	Place of living	NULL	Paikka, jossa asutaan	NULL
aueta	1	1	Entity or thing opening	NULL	Taho tai asia, joka avautuu	NULL
aukaista	1	0	Entity, who opens arg1	NULL	Taho, joka avaa arg1	NULL
aukaista	1	1	Thing opened	NULL	Asia, joka avataan	NULL
aukaista	1	2	Instrument	(tags: rare)	Väline	NULL
aukaista	1	3	Beneficiary	(tags: rare)	Hyötyjä	NULL
aukoa	1	0	Entity, who opens arg1	NULL	Taho, joka avaa arg1	NULL
aukoa	1	1	Thing opened	NULL	Asia, joka avataan	NULL
aukoa	1	2	Instrument	(tags: rare)	Väline	NULL
aukoa	1	3	Beneficiary	(tags: rare)	Hyötyjä	NULL
auktorisoida	1	0	Entity who authorises	NULL	Taho, joka auktorisoi	NULL
auktorisoida	1	1	Entity authorised	NULL	Taho, joka auktorisoidaan	NULL
auktorisoida	1	2	Thing authorised as	NULL	Asia, joksi auktorisoidaan	NULL
aurata	1	0	Entity who ploughs	NULL	Taho, joka auraa	NULL
aurata	1	1	Field or place ploughed	NULL	Pelto tai paikka, joka aurataan	NULL
autioitua	1	1	Thing becoming desolate	NULL	Asia, joka autioituu	NULL
autoistua	1	1	Place that becomes populated with cars	NULL	Paikka, joka autoistuu	NULL
auttaa	1	0	Helper	NULL	Avustaja, taho, joka auttaa	NULL
auttaa	1	1	Project	NULL	Asia, jossa autetaan	NULL
auttaa	1	2	Beneficiary	NULL	Autettava taho	NULL
avartaa	1	1	Thing expanding	NULL	Asia, joka avartaa	NULL
avartaa	1	2	Thing expanding	NULL	Avarrettu asia	NULL
avata	1	0	Entity, who opens arg1	NULL	Taho, joka avaa arg1	NULL
avata	1	1	Thing opened	NULL	Asia, joka avataan	NULL
avata	1	2	Instrument	(tags: rare)	Väline	NULL
avata	1	3	Beneficiary	(tags: rare)	Hyötyjä	NULL
avautua	1	1	Entity or thing opening	Concrete or abstract	Taho tai asia, joka avautuu	Konkreettinen tai abstrakti
avioitua	1	0	Person marrying	NULL	Henkilö, joka avioituu	NULL
avioitua	1	1	Person married to	NULL	Henkilö, jonka kanssa avioidutaan	NULL
avustaa	1	0	Helper	NULL	Avustaja, taho, joka auttaa	NULL
avustaa	1	1	Project	NULL	Asia, jossa autetaan	NULL
avustaa	1	2	Beneficiary	NULL	Autettava taho	NULL
bannata	1	0	Entity banning	NULL	Taho, joka kieltää	NULL
bannata	1	1	Entity or thing banned	NULL	Taho tai asia, jolta arg2 kielletään	NULL
bannata	1	2	Place which is forbidden	NULL	Paikka, joka on kielletty	NULL
bilettää	1	0	Entity celebrating something	NULL	Taho, joka juhlii	NULL
bilettää	1	1	Reason to celebrate	NULL	Juhlittava asia	NULL
bongata	1	0	Entity noticing	NULL	Taho, joka havaitsee	NULL
bongata	1	1	Thing noticed	None	Havaittu asia	None
buukata	1	0	Entity making bookings	NULL	Taho, joka tekee varauksia	NULL
buukata	1	1	Thing filled with bookings	E.g. a calendar	Asia, jota täytetään varauksilla	Esim. kalenteri
debytoida	1	0	Entity making one's debut	NULL	Esiintyjä	NULL
debytoida	1	1	Stage, list etc	NULL	Esiintymispaikka	NULL
debytoida	1	2	Success	NULL	Menestys	NULL
delegoida	1	0	Entity who delegates	NULL	Taho, joka delegoi	NULL
delegoida	1	1	Thing given out	NULL	Asia, joka delegoidaan	NULL
delegoida	1	2	To whom	NULL	Kenelle	NULL
diilata	1	0	Entity dealing	NULL	Taho, joka diilaa	NULL
diilata	1	1	Thing dealt	NULL	Diilattu asia	NULL
dipata	1	0	Entity who dips	NULL	Taho, joka kastaa	NULL
dipata	1	1	Thing dipped	NULL	Asia, joka kastetaan	NULL
dipata	1	2	Into what?	NULL	Mihin kastetaan	NULL
dokumentoida	1	0	provider of evidence	NULL	Tallentaja	NULL
dokumentoida	1	1	thing documented	NULL	Dokumentoitu asia	NULL
dominoida	1	0	Entity dominating	NULL	Taho, joka hallitsee	NULL
dominoida	1	1	Thing dominated	NULL	Asia, jota hallitaan	NULL
duunata	1	0	Entity making love	NULL	Taho, joka rakastelee	NULL
duunata	1	1	With whom	NULL	Kenen kanssa	NULL
edellyttää	1	0	Requirer	Causer	Taho tai asia, joka edellyttää	Aiheuttaja
edellyttää	1	1	Thing required	NULL	Asia, jota edellytetään	NULL
edellyttää	1	2	Required of, required from "ablative"	NULL	Miltä tai keneltä edellytetään "ablatiivi"	NULL
edeltää	1	1	Thing happening before	NULL	Asia, joka tapahtuu ensiksi	NULL
edeltää	1	2	Thing happening after arg1	NULL	Asia, joka tapahtuu arg1:n jälkeen	NULL
edetä	1	0	Entity thriving	NULL	Taho, joka etenee, menestyy	NULL
edetä	1	1	Thing thrived on	NULL	Asia, jossa etenee, menestyy	NULL
edetä	2	0	Entity proceeding	NULL	Taho, joka etenee	NULL
edetä	2	1	Thing proceeding	If not arg0	Asia, joka etenee	Jos ei arg0
edetä	2	2	Thing proceeded in	NULL	Asia, jossa edetään	NULL
edistyä	1	0	Entity proceeding	NULL	Taho, joka etenee	NULL
edistyä	1	1	Thing proceeding	If not arg0	Asia, joka etenee	Jos ei arg0
edistyä	1	2	Thing proceeded in	NULL	Asia, jossa edetään	NULL
edistää	1	0	Entity, who improves	NULL	Taho, joka kehittää	NULL
edistää	1	1	Thing improving	NULL	Asia, joka kehittyy	NULL
editoida	1	0	Entity editing	NULL	Taho, joka editoi	NULL
editoida	1	1	Thing edited	Text	Asia, jota editoidaan	Teksti
edustaa	1	0	Entity representing	NULL	Taho, joka edustaa	NULL
edustaa	1	1	Entity represented	NULL	Taho, jota edustetaan	NULL
edustaa	2	0	Entity being an example	NULL	Taho, joka toimii esimerkkinä	NULL
edustaa	2	1	Entity arg0 is an example of	NULL	Taho, josta arg0 on esimerkki	NULL
ehdollistaa	1	0	Entity conditioning	NULL	Taho, joka ehdollistaa	NULL
ehdollistaa	1	1	Entity conditioned	NULL	Taho, joka ehdollistetaan	NULL
ehdottaa	1	0	Entity suggesting something	NULL	Taho, joka esittää jotain	NULL
ehdottaa	1	1	Thing suggested	NULL	Esiteltävä asia	NULL
ehdottaa	1	2	Entity to whom something is suggested	NULL	Taho, jolle asia esitellään	NULL
ehdottaa	1	3	Secondary attribute of arg1	E.g. "hyvänä vaihtoehtona" ("as a good alternative") (tags: rare)	Arg1:n toissijainen ominaisuus	Esim. "hyvänä vaihtoehtona" (tags: rare)
ehkäistä	1	0	Entity preventing something	NULL	Taho, joka torjuu jotain	NULL
ehkäistä	1	1	Thing prevented	NULL	Torjuttu asia	NULL
ehkäistä	1	2	Instrument or means	Can be a subject	Väline tai keino	Voi olla subjekti
ehtiä	1	0	Entity doing	NULL	Taho, joka ehtii	NULL
ehtiä	1	1	Thing done or reached	NULL	Asia, joka ehditään tehdä tai johon ehditään	NULL
ehtyä	1	1	Thing ending	NULL	Asia, joka päättyy	NULL
ehättää	1	0	Entity doing	NULL	Taho, joka ehtii	NULL
ehättää	1	1	Thing done or reached	NULL	Asia, joka ehditään tehdä tai johon ehditään	NULL
eksyä	1	0	Entity getting lost	NULL	Taho, joka eksyy	NULL
eksyä	1	1	Place where arg0 gets lost	NULL	Paikka, jonne eksytään	NULL
elellä	1	0	Alive entity	Also metaphorical uses	Elossa oleva taho	Myös kuvainnolliset käytöt
elellä	1	1	Life	(tags: rare)	Elämä	NULL
elpyä	1	1	Entity or thing recovering	NULL	Taho tai asia, joka elpyy	NULL
elvyttää	1	0	Entity or thing reviving	Agent or causer	Taho tai asia, joka elvyttää	Agentti tai aiheuttaja
elvyttää	1	1	Thing brought back to life	NULL	Asia, joka herätetään eloon	NULL
elättää	1	0	Entity supporting someone	NULL	Taho, joka elättää jotakin	NULL
elättää	1	1	Entity supported	NULL	Taho, jota elätetään	NULL
elättää	2	0	Entity living on something	NULL	Taho, joka elättää itsensä jollakin	NULL
elättää	2	1	That something	NULL	Se jokin	NULL
elää	1	0	Alive entity	Also metaphorical uses	Elossa oleva taho	Myös kuvainnolliset käytöt
elää	1	1	Life	(tags: rare)	Elämä	NULL
empiä	1	0	Entity thinking	None	Taho, joka ajattelee	None
empiä	1	1	Secondary action	NULL	Asia, jota emmitään	NULL
ennakoida	1	0	Seer	NULL	Taho tai asia, joka ennakoi	NULL
ennakoida	1	1	Thing seen	NULL	Ennakoitava asia	NULL
ennustaa	1	0	Entity predicting	NULL	Taho, joka ennustaa	NULL
ennustaa	1	1	Prediction	NULL	Ennustus	NULL
ennättää	1	0	Entity doing	NULL	Taho, joka ehtii	NULL
ennättää	1	1	Thing done or reached	NULL	Asia, joka ehditään tehdä tai johon ehditään	NULL
ensiesitellä	1	0	Entity showing	NULL	Esittelijä, esittelevä taho	NULL
ensiesitellä	1	1	Thing seen/shown	NULL	Esitelty kohde	NULL
ensiesitellä	1	2	Entity arg1 is shown to	NULL	Taho, jolle arg1 esitellään	NULL
ensirekisteröidä	1	0	Entity registering	NULL	Taho, joka kirjaa jotain	NULL
ensirekisteröidä	1	1	Thing registered	NULL	Kirjattu asia	NULL
ensirekisteröidä	1	2	Registered with or for	NULL	Mihin tai millä kirjattu	NULL
ensirekisteröidä	1	3	Secondary predication	(tags:rare)	Toissijainen määre	NULL
entisöidä	1	0	Entity restoring	NULL	Taho, joka restauroi	NULL
entisöidä	1	1	Thing restored	NULL	Asia, joka restauroidaan	NULL
entisöidä	1	2	End state	NULL	Lopputila	NULL
epäillä	1	0	Entity suspecting	NULL	Taho, joka epäilee	NULL
epäillä	1	1	Entity or thing suspected	NULL	Taho tai asia, jota epäillään	NULL
epäillä	1	2	Suspected about what	NULL	Asia, josta epäillään	NULL
epäilyttää	1	1	Thing or matter looking suspicious	NULL	Asia, joka epäilyttää	NULL
epäilyttää	1	2	Entity who suspects arg1	NULL	Taho, jota arg1 epäilyttää	NULL
epäonnistua	1	1	Entity failing	NULL	Taho, joka epäonnistuu	NULL
epäonnistua	1	2	Task	Can be the subject	Tehtävä	Voi olla subjekti
epäröidä	1	1	Person having doubts	NULL	Henkilö, joka epäröi	NULL
epäröidä	1	2	Thing causing doubt	NULL	Asia, jota epäröi	NULL
epävakauttaa	1	0	Causer	NULL	Taho tai asia, joka aiheuttaa epävakauden	NULL
epävakauttaa	1	1	Entity or thing being unstable	NULL	Taho tai asia, joka on epävakaa	NULL
erakoitua	1	1	Entity choosing to live as a hermit	NULL	Taho, joka erakoituu	NULL
erehdyttää	1	0	Entity misleading, lying	NULL	Taho, joka johtaa harhaan, valehtelee	NULL
erehdyttää	1	1	Entity lied to	NULL	Taho, jolle valehdellaan	NULL
erehdyttää	1	2	Topic of lying	NULL	Valehtelun aihe	NULL
erehtyä	1	0	Mistaken entity	NULL	Taho, joka erehtyy	NULL
erehtyä	1	1	Mistake	NULL	Erehdys	NULL
erikoistua	1	0	Entity specializing	NULL	Taho, joka erikoistuu	NULL
erikoistua	1	1	Thing or subject specialized in	NULL	Asia, johon erikoistutaan	NULL
erilaistua	1	1	Entities differentiating	NULL	Tahot, jotka erilaistuvat	NULL
eristäytyä	1	0	Entity isolating oneself	NULL	Taho, joka eristää itsensä	NULL
eristäytyä	1	2	Thing arg0 becomes isolated from	NULL	Asia, josta arg0 on eristetty	NULL
eristää	1	0	Entity who excludes	NULL	Taho, joka sulkee pois	NULL
eristää	1	1	Entity or thing which is excluded	NULL	Taho tai asia, joka suljetaan pois	NULL
eristää	1	2	Excluded from	NULL	Mistä suljetaan pois	NULL
erkaantua	1	1	Entity diverging	NULL	Taho tai asia, joka erkaantuu	NULL
erkaantua	1	2	Diverged from	NULL	Asia, josta erkaannutaan	NULL
erota	1	1	Entity or thing being different	NULL	Taho tai asia, joka on erilainen	NULL
erota	1	2	Different from what	NULL	Taho tai asia, josta arg1 on erilainen	NULL
