base	number	argnum	definition	note	definition_fin	note_fin
valloittaa	1	0	Entity conquering	NULL	Taho, joka valtaa	NULL
valloittaa	1	1	Thing conquered	NULL	Asia, joka vallataan	NULL
valmentaa	1	0	Coach	NULL	Valmentaja	NULL
valmentaa	1	1	Entity who trains	NULL	Taho, joka harjoittelee	NULL
valmentaa	1	2	Goal, purpose	E.g. a tournament or a mission	Tavoite, tarkoitus	Esim. turnaus tai tehtävä
valmistaa	1	0	Entity making	NULL	Taho, joka valmistaa	NULL
valmistaa	1	1	Thing made	NULL	Valmistettu asia	NULL
valmistaa	1	2	Thing from where arg1 is made, thing changed	NULL	Asia, josta arg1 on tehty, muuttuva asia	NULL
valmistaa	1	3	Entity to whom arg1 is made	NULL	Taho, jolle arg1 valmistetaan	NULL
valmistaa	2	0	Entity preparing	NULL	Taho, joka valmistelee	NULL
valmistaa	2	1	Thing prepared	NULL	Valmisteltu asia	NULL
valmistaa	2	2	Ready for	NULL	Asia, johon arg1 on valmisteltu	NULL
valmistautua	1	0	Entity getting ready	NULL	Taho, joka valmistautuu	NULL
valmistautua	1	1	Thing arg0 gets ready for	NULL	Asia, johon valmistaudutaan	NULL
valmistella	1	0	Entity preparing	NULL	Taho, joka valmistelee	NULL
valmistella	1	1	Thing prepared	NULL	Valmisteltu asia	NULL
valmistella	1	2	Ready for	NULL	Asia, johon arg1 on valmisteltu	NULL
valmistua	1	0	Person graduating	NULL	Henkilö, joka valmistuu	NULL
valmistua	1	1	School	NULL	Koulu	NULL
valmistua	1	2	Qualification	NULL	Tutkinto	NULL
valmistua	2	1	Entity or thing being finished	NULL	Taho tai asia, joka tulee valmiiksi	NULL
valottaa	1	0	Entity showing	NULL	Esittelijä, esittelevä taho	NULL
valottaa	1	1	Thing seen/shown	NULL	Esitelty kohde	NULL
valottaa	1	2	Entity arg1 is shown to	NULL	Taho, jolle arg1 esitellään	NULL
valtiollistaa	1	0	Government	NULL	Hallitus tai muu vastaava taho	NULL
valtiollistaa	1	1	Property	NULL	Kansallistettu omaisuus	NULL
valtuuttaa	1	0	Entity giving authorization	NULL	Taho, joka valtuuttaa	NULL
valtuuttaa	1	1	Entity authorized	NULL	Taho, joka valtuutetaan	NULL
valtuuttaa	1	2	Action arg1 is authorized to do	NULL	Toiminta, johon arg1 valtuutetaan	NULL
valua	1	1	Thing flowing	NULL	Asia, joka valuu	NULL
valua	1	2	Destination	NULL	Loppupaikka	NULL
valuttaa	1	0	Person making liquid flow	NULL	Henkilö, joka laittaa nesteen virtaamaan	NULL
